17:55:59: arm_and_takeoff called:
17:55:59: Arming motors
17:55:59: Taking off starts
17:55:59:  Altitude: 1.987
17:56:00:  Altitude: 1.715
17:56:01:  Altitude: 1.746
17:56:02:  Altitude: 1.747
17:56:03:  Altitude: 1.745
17:56:04:  Altitude: 1.746
17:56:05:  Altitude: 1.747
17:56:06:  Altitude: 1.748
17:56:07:  Altitude: 1.748
17:56:08:  Altitude: 1.748
17:56:09:  Altitude: 1.748
17:56:10:  Altitude: 1.748
